Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Día,Hora,Jornada,Resultado
Eibar,5,77,78,75,26,Sevilla,1,80,80,79,27,03/02/2018,18:30,22,2
Levante,2,75,76,75,18,Real Madrid,2,86,86,86,46,03/02/2018,20:45,22,1
Espanyol,1,79,78,76,18,Barcelona,1,93,84,84,59,04/02/2018,12:00,22,1
Atlético de Madrid,1,85,82,83,32,Valencia,0,80,80,80,42,04/02/2018,16:15,22,2
Getafe,0,75,74,75,26,Leganés,0,74,75,74,21,04/02/2018,18:30,22,1
Girona,2,79,76,75,29,Athletic Club,0,81,79,78,24,04/02/2018,20:45,22,2
Las Palmas,1,77,74,75,16,Málaga,0,75,75,75,14,05/02/2018,21:00,22,2
Athletic Club,0,81,79,78,24,Las Palmas,0,77,74,75,17,09/02/2018,21:00,23,1
Leganés,0,74,75,74,21,Eibar,1,77,78,75,31,10/02/2018,13:00,23,0
Villarreal,1,79,79,80,33,Alavés,2,77,75,74,19,10/02/2018,16:15,23,0
Real Madrid,5,86,86,86,48,Real Sociedad,2,80,78,76,41,10/02/2018,18:30,23,2
Málaga,0,75,75,75,14,Atlético de Madrid,1,85,82,83,33,10/02/2018,20:45,23,0
Valencia,3,80,80,80,42,Levante,1,75,76,75,20,11/02/2018,12:00,23,2
Celta de Vigo,2,78,78,78,39,Espanyol,2,79,78,76,19,11/02/2018,16:15,23,1
Sevilla,1,80,80,79,28,Girona,0,79,76,75,31,11/02/2018,18:30,23,2
Barcelona,0,93,84,84,60,Getafe,0,75,74,75,26,11/02/2018,20:45,23,1
Deportivo de La Coruña,0,79,77,77,24,Betis,1,79,79,76,37,12/02/2018,21:00,23,0
Girona,3,79,76,75,31,Leganés,0,74,75,74,21,16/02/2018,21:00,24,2
Eibar,0,77,78,75,32,Barcelona,2,93,84,84,60,17/02/2018,13:00,24,0
Málaga,1,75,75,75,14,Valencia,2,80,80,80,45,17/02/2018,16:15,24,0
Las Palmas,1,77,74,75,17,Sevilla,2,80,80,79,29,17/02/2018,18:30,24,0
Alavés,1,77,75,74,21,Deportivo de La Coruña,0,79,77,77,24,17/02/2018,20:45,24,2
Betis,3,79,79,76,38,Real Madrid,5,86,86,86,53,18/02/2018,12:00,24,0
Real Sociedad,3,80,78,76,43,Levante,0,75,76,75,21,18/02/2018,16:15,24,2
Espanyol,1,79,78,76,21,Villarreal,1,79,79,80,34,18/02/2018,18:30,24,1
Atlético de Madrid,2,85,82,83,34,Athletic Club,0,81,79,78,24,18/02/2018,20:45,24,2
