Equipo Local,Goles,Ataque,Medio,Defensa,Goles_Acumulados,Equipo Visitante,Goles.1,Ataque.1,Medio.1,Defensa.1,Goles_Acumulados.1,Día,Hora,Jornada,Resultado,cod_est,tmin,tmed,tmax,prec,presmin,presmax,velmedia,rachaviento
Celta de Vigo,4,79,79,78,9,Deportivo de La Coruña,1,77,77,76,5,2016-10-23,12:00,9,2,1495,"10,0","12,7","15,4","4,2","966,4","975,0","4,2","13,3"
Sevilla,1,80,81,80,16,Atlético de Madrid,0,84,82,84,21,2016-10-23,16:15,9,2,5783,"14,5","17,2","19,9","30,7","1001,7","1006,5","3,9","12,8"
Málaga,4,77,77,76,8,Leganés,0,74,76,75,9,2016-10-23,18:30,9,2,6156X,"18,2","21,1","24,0","6,1","1001,6","1004,8","1,7","7,5"
Villarreal,2,79,81,79,14,Las Palmas,1,77,79,76,16,2016-10-23,18:30,9,2,8500A,"16,4","20,4","24,5","0,0","1001,8","1004,1","1,4","6,1"
Real Madrid,2,88,86,86,22,Athletic Club,1,80,81,79,13,2016-10-23,20:45,9,2,3195,"11,5","13,0","14,4","12,8","928,6","934,2","1,7","10,8"
Leganés,0,74,76,75,9,Real Sociedad,2,79,78,76,14,2016-10-28,20:45,10,0,3195,"14,3","18,0","21,6","0,0","950,4","953,3","0,6","4,7"
Sporting de Gijón,1,75,73,73,7,Sevilla,1,80,81,80,17,2016-10-29,13:00,10,1,1207U,"8,9","13,6","18,4","0,2","1021,2","1025,0","1,4","5,3"
Alavés,1,73,76,75,9,Real Madrid,4,88,86,86,24,2016-10-29,16:15,10,0,9091R,"0,8","13,7","26,6","0,0","965,4","970,7","0,3","4,2"
Atlético de Madrid,4,84,82,84,21,Málaga,2,77,77,76,12,2016-10-29,18:30,10,2,3195,"12,5","17,0","21,6","0,0","948,0","952,1","0,6","5,3"
Barcelona,1,92,85,83,29,Granada,0,78,73,72,8,2016-10-29,20:45,10,2,0076,"13,0","17,2","21,4","0,0","1023,3","1029,1","3,9","8,9"
Eibar,2,78,77,76,14,Villarreal,1,79,81,79,16,2016-10-30,12:00,10,2,1050J,"6,4","12,7","19,0","0,0","1006,4","1010,5","0,8","3,9"
Athletic Club,1,80,81,79,14,Osasuna,1,75,73,73,11,2016-10-30,16:15,10,1,1082,"8,4","13,8","19,2","0,3","1015,7","1020,1","1,9","6,7"
Betis,0,79,76,74,11,Espanyol,1,78,77,76,12,2016-10-30,18:30,10,0,5783,"13,8","20,4","27,0","0,0","1013,9","1018,2","2,8","8,9"
Las Palmas,3,77,79,76,17,Celta de Vigo,3,79,79,78,13,2016-10-30,20:45,10,1,C659M,"22,1","24,1","26,1","0,3","1007,2","1010,0","1,9","6,4"
Deportivo de La Coruña,1,77,77,76,6,Valencia,1,78,79,79,13,2016-10-31,20:45,10,1,1387,"12,7","17,4","22,2","0,0","1010,1","1011,5","1,7","4,7"
Málaga,3,77,77,76,14,Sporting de Gijón,2,75,73,73,8,2016-11-04,20:45,11,2,6156X,"19,3","21,8","24,2","0,2","1009,4","1012,6","1,9","7,2"
Granada,1,78,73,72,8,Deportivo de La Coruña,1,77,77,76,7,2016-11-05,13:00,11,1,5530E,"13,1","15,4","17,6","7,0","945,4","951,5","1,4","11,7"
Real Sociedad,2,79,78,76,16,Atlético de Madrid,0,84,82,84,25,2016-11-05,16:15,11,2,1014A,"9,9","14,4","19,0","62,7","1004,9","1009,7","1,7","10,8"
Osasuna,0,75,73,73,12,Alavés,1,73,76,75,10,2016-11-05,18:30,11,0,9263D,"6,2","10,0","13,8","17,4","953,9","958,6","3,9","8,9"
Las Palmas,1,77,79,76,20,Eibar,0,78,77,76,16,2016-11-05,20:45,11,2,C659M,"20,0","22,8","25,6","0,4","1004,1","1006,8","1,7","8,3"
Real Madrid,3,88,86,86,28,Leganés,0,74,76,75,9,2016-11-06,12:00,11,2,3195,"5,3","9,4","13,4","0,0","931,5","935,3","1,4","8,9"
Espanyol,0,78,77,76,13,Athletic Club,0,80,81,79,15,2016-11-06,16:15,11,1,0076,"9,7","13,6","17,6","0,0","1003,6","1008,7","3,6","9,7"
Celta de Vigo,2,79,79,78,16,Valencia,1,78,79,79,14,2016-11-06,16:15,11,2,1495,"4,6","8,6","12,6",Ip,"985,1","987,5","3,1","9,7"
Villarreal,2,79,81,79,17,Betis,0,79,76,74,11,2016-11-06,18:30,11,2,8500A,"11,0","15,2","19,5","0,0","999,5","1005,6","3,3","11,4"
Sevilla,1,80,81,80,18,Barcelona,2,92,85,83,30,2016-11-06,20:45,11,0,5783,"9,7","14,0","18,3","0,0","1009,1","1012,7","2,5","6,7"
Betis,2,79,76,74,11,Las Palmas,0,77,79,76,21,2016-11-18,20:45,12,2,5783,"6,1","13,4","20,8","0,0","1011,9","1015,5","1,7","5,0"
Deportivo de La Coruña,2,77,77,76,8,Sevilla,3,80,81,80,19,2016-11-19,13:00,12,0,1387,"10,5","12,8","15,2","22,6","995,6","1010,5","5,8","19,2"
Barcelona,0,92,85,83,32,Málaga,0,77,77,76,17,2016-11-19,16:15,12,1,0076,"11,6","15,0","18,3","0,0","1012,3","1016,1","4,2","8,3"
Eibar,1,78,77,76,16,Celta de Vigo,0,79,79,78,18,2016-11-19,18:30,12,2,1050J,"7,8","11,2","14,5","0,0","992,8","1003,1","1,4","18,1"
Atlético de Madrid,0,84,82,84,25,Real Madrid,3,88,86,86,31,2016-11-19,20:45,12,0,3195,"4,4","8,2","12,0","5,7","936,4","940,2","0,6","8,1"
Alavés,0,73,76,75,11,Espanyol,1,78,77,76,13,2016-11-20,12:00,12,0,9091R,"9,6","11,0","12,5","6,3","939,7","949,0","1,7","16,1"
Valencia,1,78,79,79,15,Granada,1,78,73,72,9,2016-11-20,16:15,12,1,8414A,"10,4","14,6","18,7","0,5","1000,1","1006,5","4,2","11,7"
Sporting de Gijón,1,75,73,73,10,Real Sociedad,3,79,78,76,18,2016-11-20,18:30,12,0,1207U,"7,0","11,6","16,3","15,0","986,2","997,9","0,6","7,5"
Athletic Club,1,80,81,79,15,Villarreal,0,79,81,79,19,2016-11-20,20:45,12,2,1082,"13,3","15,5","17,7","3,1","990,5","1001,0","4,7","18,9"
Leganés,2,74,76,75,9,Osasuna,0,75,73,73,12,2016-11-21,20:45,12,2,3195,"7,0","9,5","12,0","0,1","924,2","929,6","1,9","11,9"
Eibar,3,78,77,76,17,Betis,1,79,76,74,13,2016-11-25,20:45,13,2,1050J,"0,9","6,7","12,5","0,0","995,2","997,1","0,8","11,4"
Málaga,4,77,77,76,17,Deportivo de La Coruña,3,77,77,76,10,2016-11-26,13:00,13,2,6156X,"12,1","13,2","14,4","39,1","999,1","1001,7","2,8","12,5"
Real Madrid,2,88,86,86,34,Sporting de Gijón,1,75,73,73,11,2016-11-26,16:15,13,2,3195,"5,5","7,8","10,0","19,9","928,9","932,7","1,4","6,4"
Espanyol,3,78,77,76,14,Leganés,0,74,76,75,11,2016-11-26,18:30,13,2,0076,"8,6","12,7","16,8","1,9","1010,5","1013,9","6,1","14,4"
Sevilla,2,80,81,80,22,Valencia,1,78,79,79,16,2016-11-26,20:45,13,2,5783,"12,3","14,7","17,1","8,6","999,3","1002,2","2,5","9,7"
Villarreal,0,79,81,79,19,Alavés,2,73,76,75,11,2016-11-27,12:00,13,0,8500A,"12,4","14,6","16,9","78,0","1001,9","1004,7","2,8","11,7"
Osasuna,0,75,73,73,12,Atlético de Madrid,3,84,82,84,25,2016-11-27,16:15,13,0,9263D,"3,6","9,2","14,8","0,0","957,5","960,2","0,8","10,3"
Celta de Vigo,3,79,79,78,18,Granada,1,78,73,72,10,2016-11-27,18:30,13,2,1495,"6,3","9,6","12,9","0,0","976,3","981,7","1,4","5,8"
Real Sociedad,1,79,78,76,21,Barcelona,1,92,85,83,32,2016-11-27,20:45,13,1,1014A,"6,1","9,8","13,6","0,0","1009,5","1012,6","1,7","6,7"
Las Palmas,3,77,79,76,21,Athletic Club,1,80,81,79,16,2016-11-28,20:45,13,2,C659M,,,,,,,,
Granada,2,78,73,72,11,Sevilla,1,80,81,80,24,2016-12-03,13:00,14,2,5530E,"9,3","13,6","17,9","1,5","943,3","949,2","3,1","9,7"
Barcelona,1,92,85,83,33,Real Madrid,1,88,86,86,36,2016-12-03,16:15,14,1,0076,"4,1","9,4","14,6","0,0","1014,5","1017,1","4,2","11,4"
Leganés,0,74,76,75,11,Villarreal,0,79,81,79,19,2016-12-03,18:30,14,1,3195,"6,2","9,0","11,7","12,1","933,8","938,7","1,9","7,2"
Atlético de Madrid,0,84,82,84,28,Espanyol,0,78,77,76,17,2016-12-03,20:45,14,1,3195,"6,2","9,0","11,7","12,1","933,8","938,7","1,9","7,2"
Betis,3,79,76,74,14,Celta de Vigo,3,79,79,78,21,2016-12-04,12:00,14,1,5783,"13,5","16,1","18,7","8,0","1003,3","1006,7","2,8","7,2"
Athletic Club,3,80,81,79,17,Eibar,1,78,77,76,20,2016-12-04,16:15,14,2,1082,"11,1","14,2","17,3",Ip,"1004,7","1010,6","7,2","13,9"
Sporting de Gijón,3,75,73,73,12,Osasuna,1,75,73,73,12,2016-12-04,18:30,14,2,1207U,"5,1","12,2","19,2","0,0","1002,1","1009,6","1,1","3,9"
Alavés,1,73,76,75,13,Las Palmas,1,77,79,76,24,2016-12-04,18:30,14,1,9091R,"5,5","8,8","12,0","0,4","952,3","957,6","5,0","13,3"
Valencia,2,78,79,79,17,Málaga,2,77,77,76,21,2016-12-04,20:45,14,1,8414A,"11,9","13,8","15,8","16,7","1005,6","1007,9","3,6","10,3"
Deportivo de La Coruña,5,77,77,76,13,Real Sociedad,1,79,78,76,22,2016-12-05,20:45,14,2,1387,"12,1","16,4","20,6","0,0","1004,8","1015,1","1,9","4,7"
Málaga,1,77,77,76,23,Granada,1,78,73,72,13,2016-12-09,20:45,15,1,6156X,"12,9","16,0","19,0","0,0","1024,5","1026,7","2,2","8,3"
Osasuna,0,75,73,73,13,Barcelona,3,92,85,83,34,2016-12-10,13:00,15,0,9263D,"2,9","4,5","6,1","0,0","974,8","977,7","0,3","2,5"
Real Sociedad,3,79,78,76,23,Valencia,2,78,79,79,19,2016-12-10,16:15,15,2,1014A,"4,8","12,2","19,6","0,0","1024,7","1027,5","1,7","4,7"
Las Palmas,1,77,79,76,25,Leganés,1,74,76,75,11,2016-12-10,18:30,15,1,C659M,"19,1","21,5","23,9","0,0","1013,1","1016,1","1,7","6,7"
Real Madrid,3,88,86,86,37,Deportivo de La Coruña,2,77,77,76,18,2016-12-10,20:45,15,2,3195,"7,8","10,8","13,7","0,0","949,5","952,7","0,8","4,2"
Eibar,0,78,77,76,21,Alavés,0,73,76,75,14,2016-12-11,12:00,15,1,1050J,"4,4","9,1","13,8","0,0","1011,8","1014,4","0,0","4,4"
Celta de Vigo,0,79,79,78,24,Sevilla,3,80,81,80,25,2016-12-11,16:15,15,0,1495,"9,1","13,5","17,9","0,0","995,2","997,3","1,9","8,3"
Espanyol,2,78,77,76,17,Sporting de Gijón,1,75,73,73,15,2016-12-11,18:30,15,2,0076,"7,3","12,0","16,8","0,0","1022,3","1026,3","3,6","9,2"
Betis,1,79,76,74,17,Athletic Club,0,80,81,79,20,2016-12-11,20:45,15,2,5783,"9,3","14,0","18,7","0,0","1020,1","1023,2","1,7","6,7"
Villarreal,3,79,81,79,19,Atlético de Madrid,0,84,82,84,28,2016-12-12,20:45,15,2,8500A,"8,1","12,8","17,6","0,0","1016,5","1019,2","2,2","5,3"
Alavés,1,73,76,75,14,Betis,0,79,76,74,18,2016-12-16,20:45,16,2,9091R,"1,5","5,4","9,2","0,9","956,6","969,2","1,7","7,2"
Sporting de Gijón,1,75,73,73,16,Villarreal,3,79,81,79,22,2016-12-17,13:00,16,0,1207U,"3,9","9,3","14,7","0,0","1026,6","1032,6","1,4","4,7"
